PotenciaA1iz,PotenciaA2iz,PotenciaA3iz,PotenciaC1iz,PotenciaC2iz,PotenciaC3iz,PotenciaB1iz,PotenciaB2iz,PotenciaB3iz,PotenciaA1de,PotenciaA2de,PotenciaA3de,PotenciaC1de,PotenciaC2de,PotenciaC3de,PotenciaB1de,PotenciaB2de,PotenciaB3de
131.385054309306,409.178794850762,636.004295964542,210.72079061134,192.387675816253,228.642474296446,273.037377021422,148.192392137213,749.997867763195,142.396130678694,530.941265295486,782.539680311366,207.94252376312,216.402106810879,200.244529330706,36.9962162141241,430.005239448902,354.414463076017
143.808394059896,447.138938456237,696.191061995661,227.450172612533,207.362713209355,246.914496969169,297.746065441351,164.414339048337,818.020233086936,155.865661310803,579.377779461668,856.835388866626,224.390454002335,233.789359288925,215.787055923504,40.3152527412626,471.480042826079,386.647327595531
156.216690902496,484.900981442059,756.319174346174,243.280686379099,221.436624181347,264.245161032231,322.120883243327,181.195078536952,885.177790265975,169.319858544664,627.343841558279,931.124617744683,239.934826001191,250.303456118571,230.384065509021,43.5818716595655,513.118348660597,418.511557923646
168.608764228295,522.469907478443,816.390142950801,258.131418884324,234.530198800134,280.550483966284,346.131472674118,198.573624924488,951.410991648828,182.757580156226,674.82671854743,1005.41094893032,254.495405202766,265.864092328663,243.95350131962,46.7904530756545,554.931540652013,449.986796226669
180.982052502832,559.849423763097,876.400196343353,271.923047467067,246.565663212849,295.747852876927,369.748336486002,216.585268047371,1016.64642308873,196.177803578427,721.818926345062,1079.69777524164,267.991552407263,280.39156259612,256.41437980328,49.9366124733706,596.933230450667,481.052528212178
193.336824859028,597.052383501037,936.352142730699,284.574550051816,257.464596186647,309.754132518153,392.944400558468,235.26721513514,1080.81968197205,209.578097834001,768.319986723941,1153.99120143683,280.342674104427,293.804568932257,267.686471842704,53.0152758789397,639.134695123779,511.692922989128
205.672226129545,634.088084599856,996.245746120658,296.005805510755,267.148144300902,322.485567598048,415.690997788653,254.64991520293,1143.85804913081,222.959134636217,814.329349643753,1228.29726536161,291.467970726309,306.021587783443,277.688858072262,56.0215435852044,681.548981173986,541.892685592663
217.987563592361,670.975522515311,1056.08347325615,306.135253945106,275.538456117795,333.859687516209,437.959776960134,274.763710081796,1205.72095448309,236.320434656412,859.852662664926,1302.62341822235,301.286507655031,316.959298418399,286.341887450171,58.9501293470588,724.186363075338,571.641835469938
230.280472846814,707.732579497279,1115.86735105237,314.881561146648,282.556877890224,343.792161497721,459.724099268976,295.635817022626,1266.32894894117,249.659896299059,904.902164276427,1376.97476355418,309.716804302909,326.534196782007,293.565698331169,61.7958300542862,767.059047596799,600.930932900585
242.552316280597,744.380428919903,1175.60055669755,322.163865827676,288.1260248278,352.200207336668,480.955245674016,317.291379025384,1325.64817461053,262.977238747219,949.488273497856,1451.35934447671,316.676269475004,334.662358113258,299.281621308181,64.5529753951176,810.178359947969,629.754053573815
254.803026442458,780.9456576867,1235.28751867521,327.899817468316,292.166540703427,358.999673616107,501.627651694941,339.754905846904,1383.58850467693,276.274521381373,993.629351078509,1525.79105272912,322.083827358798,341.257470319586,303.411455972392,67.2151929034716,853.556978182512,658.10781742753
267.030628647868,817.450151597033,1294.93183432276,332.009397274828,294.602974445468,364.109653456141,521.715034743281,363.04214089507,1440.12124102295,289.545880536089,1037.3405856837,1600.27711540535,325.859323280036,346.235483743788,305.878664491678,69.7783459606288,897.208031817734,685.993998319045
279.235273055217,853.931592858961,1354.54950796617,334.405179285732,295.352070377656,367.440610141343,541.186935539644,387.179395968375,1495.18324260338,302.795862003305,1080.65220442267,1674.83775904216,327.913966161797,349.504372592816,306.600620105146,72.2277871892624,941.135713897715,713.420096226953
291.410326961666,890.392698677134,1414.10743270207,335.027465534938,294.359676050057,368.932509448653,560.040812102116,412.155495414653,1548.76925196866,316.018372934991,1123.55242117657,1749.44083383367,328.190342012388,350.99922481991,305.524827056266,74.588087606098,985.38273090119,740.365435713844
303.587539851245,926.968731485709,1473.75480488085,333.706831672454,291.461135668617,368.414490774584,578.146447421904,438.089298227361,1600.65758712491,329.240853915307,1166.18974872955,1824.28353526877,326.517732546035,350.545202343919,302.485803301647,76.7302378528743,1029.8528533318,766.958558720698
315.640642101639,963.336695191037,1532.98179189695,330.707825457393,286.924310783324,366.151696909223,595.908360905467,464.579293933854,1651.43063694287,342.334544700488,1208.14688689464,1898.69221643526,323.160573463479,348.394155345775,297.765327041595,79.1103148083949,1074.98017383022,792.738774808761
328.052600040085,1000.80547118305,1593.74119654578,324.612620217724,279.35624274709,360.716128426987,611.599702195202,493.260590145246,1698.6001470553,355.816759685031,1251.0350821086,1975.23112114727,316.70093331464,343.146964773453,289.915387768771,79.9541839040334,1119.17322165676,819.58767348794
339.002851316191,1034.86205958383,1648.79047079808,320.498209632432,273.774289413095,357.233835841202,631.958647925088,517.727705860662,1751.58449449566,367.719152266796,1289.29540303674,2044.59617442645,312.222638505566,339.777990675381,284.194006833155,85.9485907006456,1168.57640914889,840.180636215479
358.429236915282,1088.65701692592,1737.0463457881,287.004095845476,239.305959578427,323.910726732315,613.718474748551,577.387839305542,1751.93856622234,388.839771009408,1350.1876847302,2155.24296583028,278.336066015498,307.462628999064,248.107857123467,58.0714650646657,1186.03049367432,898.913050100733
380.630505626184,1148.50257393919,1835.1589530467,237.508679363586,189.288457958935,274.34013674285,575.670755837206,650.407954436159,1722.2456319385,412.974274287629,1418.11662264928,2277.66922206911,228.462914383745,259.279871556284,195.677617283762,12.9332896858654,1182.91462444467,974.286009709251
400.91002610986,1202.86309510799,1924.29032166072,186.068309461535,137.597441794085,222.765827080683,536.57235570652,718.652392438148,1687.94466377351,435.020209644768,1479.45823670931,2387.99819516708,176.6793577832,209.043803368896,141.463292022073,32.0268023287061,1174.79346546382,1046.50553473797
420.24536082748,1253.94215064879,2008.28608936904,130.027325168646,81.6208808839391,166.514855027419,492.408853549793,785.818699755888,1644.09963606839,456.048395979085,1536.86942790591,2490.84156994742,120.325552966823,154.15700230615,82.675583142008,80.6037400671488,1158.0522520102,1120.35723049738
438.223100383222,1300.68016939425,2085.42515422341,71.1384221907563,23.0913378560634,107.379615867771,445.300528190934,849.862598431436,1593.65725337645,475.597731064431,1589.24684109564,2584.02875441792,61.1589262643194,96.3558624399653,21.1117692473073,131.12542616679,1134.09946651118,1194.00659977122
