Time(s) Force[Z](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso1.iaa(N) Force(Cylindrical:11)-CabeceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso1.iaa(N.mm) 
2.26748 -5718.77000 1696.31000 -5.60591 5965.05000 9181.74000 2397.65000 -66156.00000 66833.10000 
2.28280 -5779.65000 1706.77000 -5.66212 6026.40000 9263.12000 2449.27000 -66564.20000 67250.20000 
2.29812 -5827.44000 1715.37000 -5.71313 6074.67000 9321.86000 2490.35000 -66899.30000 67591.60000 
2.31344 -5880.76000 1723.49000 -5.78991 6128.12000 9368.34000 2522.43000 -67216.20000 67912.80000 
2.32876 -5528.24000 1700.23000 -5.30185 5783.79000 9192.39000 2506.42000 -66308.90000 66990.00000 
2.34408 -5150.29000 1674.26000 -4.79776 5415.60000 8989.24000 2478.31000 -65296.30000 65958.70000 
2.35940 -4770.07000 1647.45000 -4.31300 5046.55000 8778.29000 2443.20000 -64250.60000 64893.50000 
2.37472 -4382.78000 1619.55000 -3.83964 4672.44000 8564.01000 2403.50000 -63162.40000 63785.70000 
2.39004 -3991.13000 1590.87000 -3.37744 4296.51000 8353.49000 2362.06000 -62044.10000 62648.40000 
2.40536 -3595.85000 1561.58000 -2.92052 3920.30000 8150.99000 2321.09000 -60901.80000 61488.70000 
2.42068 -3198.22000 1531.89000 -2.46196 3546.17000 7959.02000 2282.22000 -59743.60000 60314.60000 
2.43600 -2799.39000 1501.97000 -1.99400 3176.87000 7777.90000 2246.43000 -58576.70000 59133.60000 
